cycle,state,dem_poll_avg,dem_poll_avg_margin,incumbent_party,incumbent_running,party_winner
1984,Rhode Island,38.622482,-9.869456,republican,1,republican
1984,Texas,33.363964,-26.369003,republican,1,republican
1984,Utah,23.614176,-46.972194,republican,1,republican
1984,Virginia,31.0,-28.0,republican,1,republican
1984,Washington,34.142811,-14.165518,republican,1,republican
1984,West Virginia,44.393791,-10.110380999999997,republican,1,republican
1984,Wisconsin,35.545034,-16.880119999999998,republican,1,republican
1988,Alabama,36.941321,-18.538551,republican,0,republican
1988,Alaska,41.120967,-10.390892999999998,republican,0,republican
1988,Arizona,33.011637,-20.216916000000005,republican,0,republican
1988,Arkansas,40.347879,-7.589976,republican,0,republican
1988,California,42.883798,-8.033823999999996,republican,0,republican
1988,Colorado,41.952605,-3.496305,republican,0,republican
1988,Connecticut,40.7113,-0.417037999999998,republican,0,republican
1988,Delaware,34.832296,-14.190244999999996,republican,0,republican
1988,Florida,35.808301,-21.742401,republican,0,republican
1988,Georgia,38.949382,-11.920596000000003,republican,0,republican
1988,Hawaii,41.675536,7.651668000000001,republican,0,democrat
1988,Illinois,45.433824,-1.2084199999999967,republican,0,republican
1988,Indiana,37.372362,-13.803168999999995,republican,0,republican
1988,Iowa,51.348629,13.579386999999995,republican,0,democrat
1988,Kansas,34.883109000000005,-7.725975999999996,republican,0,republican
1988,Kentucky,41.791197,-5.525950999999999,republican,0,republican
1988,Louisiana,39.623911,-8.723192000000004,republican,0,republican
1988,Maine,42.126039,-3.8567570000000018,republican,0,republican
1988,Maryland,45.944472,-0.6433719999999994,republican,0,republican
1988,Massachusetts,48.431455,6.746832000000005,republican,0,democrat
1988,Michigan,43.626056,-2.237392,republican,0,republican
1988,Minnesota,49.89779,7.643155,republican,0,democrat
1988,Mississippi,37.076414,-19.050599,republican,0,republican
1988,Missouri,41.91396,-5.5348320000000015,republican,0,republican
1988,Montana,36.983819,-9.011197000000005,republican,0,republican
1988,Nebraska,39.5896,-5.980428000000003,republican,0,republican
1988,Nevada,33.449524,-17.700569,republican,0,republican
1988,New Hampshire,32.119257,-28.27175,republican,0,republican
1988,New Jersey,40.924593,-10.379368,republican,0,republican
1988,New Mexico,39.668694,-9.515822999999996,republican,0,republican
1988,New York,45.885133,0.1984650000000059,republican,0,democrat
1988,North Carolina,41.989746,-8.300449,republican,0,republican
1988,North Dakota,37.267997,-14.247344000000004,republican,0,republican
1988,Ohio,41.268361,-8.170046,republican,0,republican
1988,Oklahoma,38.603252000000005,-16.809592999999992,republican,0,republican
1988,Oregon,48.474516,1.0739459999999923,republican,0,democrat
1988,Pennsylvania,44.803587,-3.565793999999997,republican,0,republican
1988,Rhode Island,46.607574,9.851874000000002,republican,0,democrat
1988,South Carolina,39.120127,-14.885082999999996,republican,0,republican
1988,South Dakota,40.672295,-4.494734999999999,republican,0,republican
1988,Tennessee,39.917801,-11.038620999999992,republican,0,republican
1988,Texas,42.587829,-9.513224,republican,0,republican
1988,Utah,31.227522,-33.60928200000001,republican,0,republican
1988,Vermont,41.675536,-0.4664769999999976,republican,0,republican
1988,Virginia,39.417478,-12.722485999999996,republican,0,republican
1988,Washington,42.971394,-4.295337999999994,republican,0,democrat
1988,West Virginia,43.680941,8.638100000000001,republican,0,democrat
1988,Wisconsin,44.869765,-1.743188999999994,republican,0,democrat
1988,Wyoming,27.823913,-28.620669999999997,republican,0,republican
1992,Alabama,40.180882,-1.4558649999999955,republican,1,republican
1992,Alaska,33.656677,0.5418000000000021,republican,1,republican
1992,Arizona,33.570066,-0.1559850000000011,republican,1,republican
1992,Arkansas,52.054279,17.844488000000005,republican,1,democrat
1992,California,48.764566,17.150516999999997,republican,1,democrat
1992,Colorado,39.511654,7.596598,republican,1,democrat
1992,Connecticut,44.051756,10.368108,republican,1,democrat
1992,Delaware,40.233436,7.456685999999998,republican,1,democrat
1992,District of Columbia,71.275369,54.402688,republican,1,democrat
1992,Florida,38.39614,-1.9200069999999911,republican,1,republican
1992,Georgia,38.814284,1.6269670000000005,republican,1,democrat
1992,Hawaii,43.686664,17.324465,republican,1,democrat
1992,Idaho,28.721845,-8.361484999999995,republican,1,republican
1992,Illinois,46.80532,14.038367999999998,republican,1,democrat
1992,Indiana,36.793521000000005,-4.803822999999994,republican,1,republican
1992,Iowa,38.889839,4.459282999999999,republican,1,democrat
1992,Kansas,36.712598,-0.4253050000000016,republican,1,republican
1992,Kentucky,43.25922,6.3741330000000005,republican,1,democrat
1992,Louisiana,38.129305,1.7708060000000003,republican,1,democrat
1992,Maine,34.291351,6.448637999999999,republican,1,democrat
1992,Maryland,42.98602,8.457335999999998,republican,1,democrat
1992,Massachusetts,37.029205,11.694029999999998,republican,1,democrat
1992,Michigan,39.087293,6.828844000000004,republican,1,democrat
1992,Minnesota,41.663969,5.512895,republican,1,democrat
1992,Mississippi,37.229225,-4.443715999999995,republican,1,republican
1992,Missouri,42.510403,12.260505000000006,republican,1,democrat
1992,Montana,33.717977000000005,1.7028239999999997,republican,1,democrat
1992,Nebraska,30.607145000000003,-9.516056,republican,1,republican
1992,Nevada,35.293839,5.455144999999998,republican,1,democrat
1992,New Hampshire,38.195925,3.784798000000002,republican,1,democrat
1992,New Jersey,39.305388,7.5584479999999985,republican,1,democrat
1992,New Mexico,41.953365000000005,8.148655000000005,republican,1,democrat
1992,New York,48.076968,19.45024,republican,1,democrat
1992,North Carolina,40.319437,2.8519989999999997,republican,1,republican
1992,North Dakota,31.136323,-7.671223000000005,republican,1,republican
1992,Ohio,40.257081,1.95993,republican,1,democrat
1992,Oklahoma,37.494133000000005,-5.705705999999999,republican,1,republican
1992,Oregon,39.925772,10.250847999999994,republican,1,democrat
1992,Pennsylvania,41.349889000000005,9.153842000000004,republican,1,democrat
1992,Rhode Island,50.311493,23.466614,republican,1,democrat
1992,South Carolina,33.74447,-8.717132,republican,1,republican
1992,South Dakota,36.333398,1.450919999999989,republican,1,republican
1992,Tennessee,44.505269,7.955710999999994,republican,1,democrat
1992,Texas,36.858955,-0.2946179999999998,republican,1,republican
1992,Utah,24.661515,-14.538946,republican,1,republican
1992,Vermont,40.803584,11.422218000000004,republican,1,democrat
1992,Virginia,35.497365,-7.435288999999997,republican,1,republican
1992,Washington,44.466954,15.004827,republican,1,democrat
